OBJECTID,globe_中文名,name_cn,gb_yq_20200318xls_OBJECTID,地区国家,累计确诊,新增确诊,累计死亡,新增死亡,Shape_Length,Shape_Area
66,开曼群岛,开曼群岛,74,开曼群岛,1,0,1,0,0.7550701551738679,0.018478842263955558
67,科特迪瓦,科特迪瓦,75,科特迪瓦,6,3,0,0,27.200269676136642,26.51686093435276
68,科威特,科威特,76,科威特,130,7,0,0,7.773666661161529,1.8230353152445502
69,克罗地亚,克罗地亚,77,克罗地亚,65,9,0,0,27.832937848644814,6.697720489730894
70,肯尼亚,肯尼亚,78,肯尼亚,3,0,0,0,32.64453207718531,46.05800391098552
71,拉脱维亚,拉脱维亚,80,拉脱维亚,60,24,0,0,17.674475146876787,8.498445404999151
72,黎巴嫩,黎巴嫩,81,黎巴嫩,120,21,3,0,4.3968577364534935,0.9857291017588082
73,立陶宛,立陶宛,83,立陶宛,25,8,0,0,13.70673626173672,9.209607774088758
74,利比里亚,利比里亚,82,利比里亚,1,1,0,0,13.951479545146258,7.8579063602181005
75,列支敦士登,列支敦士登,84,列支敦士登,7,0,0,0,0.5537338509349466,0.014136864978603553
76,留尼汪,留尼汪,85,留尼汪,9,0,0,0,1.7500307292354234,0.173901524911532
77,卢森堡,卢森堡,86,卢森堡,140,59,1,0,2.225166435247802,0.33199722996221875
78,卢旺达,卢旺达,87,卢旺达,7,2,0,0,6.096449092656216,2.1025448251222034
79,罗马尼亚,罗马尼亚,88,罗马尼亚,184,26,0,0,26.454777954956725,26.917526584737633
80,马来西亚,马来西亚,91,马来西亚,553,0,0,0,49.83001741353569,26.721544235033527
